######## ELECTION INFO ########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inyo County,101,5,5,35,5-5-35,,,,,,Round 1: 0.067973973692068047,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,5,36,5-5-36,,,,,,Round 1: 0.082828839889455721,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,5,42,5-5-42,,,,,,Round 1: 0.074665494375397847,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,5,50,5-5-50,,,,,,Round 1: 0.058175568132853990,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,5,57,5-5-57,,,,,,Round 1: 0.019234766207385983,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,5,69,5-5-69,,,,,,Round 1: 0.031326142964845769,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,5,94,5-5-94,,,,,,Round 1: 0.080100445116631080,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,5,100,5-5-0100,,,,,,Round 1: 0.079748371298398005,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,5,115,5-5-0115,,,,,,Round 1: 0.087852411139774887,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,5,121,5-5-0121,,,,,,Round 1: 0.015994795584712660,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,105,2,1,91,2-1-91,,,,Round 1: 0.002825943506195385,,,Round 1: 0.002825943506195385,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,NICK LARA,NICK LARA,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,YES,YES,
Inyo County,105,2,2,3,2-2-2003,,,,Round 1: 0.003275871483899538,,,Round 1: 0.003275871483899538,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,YES,YES,
Inyo County,105,2,35,47,2-35-47,,,,,,,Round 1: 0.009709415717669437,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,YES,YES,
Inyo County,105,2,36,27,2-36-27,,,,,,,Round 1: 0.006808210681031562,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,NICK LARA,NICK LARA,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,YES,YES,
Inyo County,105,2,36,111,2-36-111,,,,Round 1: 0.002967088685704884,,,Round 1: 0.002967088685704884,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,NICK LARA,NICK LARA,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,YES,YES,
Inyo County,105,2,36,122,2-36-122,,,,Round 1: 0.005851461144842142,,,Round 1: 0.005851461144842142,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,NICK LARA,NICK LARA,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,NO,NO,
Inyo County,105,2,4,31,2-4-31,,,,,,,Round 1: 0.009228696142491521,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,NICK LARA,NICK LARA,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,YES,YES,
Inyo County,105,2,4,55,2-4-55,,,,,,,Round 1: 0.007678708330844609,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,YES,YES,
Inyo County,105,2,5,55,2-5-55,,,,,,,Round 1: 0.009069779106943621,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,NICK LARA,NICK LARA,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,NO,NO,
Inyo County,105,2,5,114,2-5-0114,,,,,,,Round 1: 0.007793397468574381,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,NICK LARA,NICK LARA,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,YES,YES,
Inyo County,106,1,16,9,1-16-2009,,,,Round 1: 0.003154103675776604,,,Round 1: 0.003154103675776604,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,NICK LARA,NICK LARA,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,YES,YES,
Inyo County,106,2,34,12,2-34-12,,,,Round 1: 0.005874875976591371,,,Round 1: 0.005874875976591371,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,NO,NO,
Inyo County,106,2,34,60,2-34-60,,,,,,,Round 1: 0.009507810251424937,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,NICK LARA,NICK LARA,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,YES,YES,
Inyo County,106,2,34,124,2-34-124,,,,Round 1: 0.001203664377375113,,,Round 1: 0.001203664377375113,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,NICK LARA,NICK LARA,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,NO,NO,
Inyo County,106,2,6,110,2-6-0110,,,,,,,Round 1: 0.007234556336470008,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,NICK LARA,NICK LARA,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,YES,YES,
Inyo County,106,2,7,32,2-7-32,,,,,,,Round 1: 0.009966560030787313,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,NICK LARA,NICK LARA,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,YES,YES,
Inyo County,106,2,7,77,2-7-77,,,,Round 1: 0.004001891549755953,,,Round 1: 0.004001891549755953,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,YES,YES,
Inyo County,106,4,7,29,4-7-29,,,,Round 1: 0.004663543155810723,,,Round 1: 0.004663543155810723,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,NICK LARA,NICK LARA,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,YES,YES,
Inyo County,107,2,37,5,2-37-5,,,,Round 1: 0.004859745862174431,,,Round 1: 0.004859745862174431,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,NICK LARA,NICK LARA,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,YES,YES,
Inyo County,107,5,6,60,5-6-60,,,,Round 1: 0.004807222153762511,,,Round 1: 0.004807222153762511,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,NICK LARA,NICK LARA,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,YES,YES,
Inyo County,108,1,14,4,1-14-2004,,,,,,Round 1: 0.008620258627072905,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,1,14,9,1-14-2009,,,,,,Round 1: 0.060427696363959957,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,1,5,12,1-5-12,,,,,,Round 1: 0.087173977409428654,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,1,5,26,1-5-26,,,,,,Round 1: 0.088918446977055696,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,1,5,28,1-5-28,,,,,,Round 1: 0.052046851012190111,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,1,5,29,1-5-29,,,,,,Round 1: 0.072349927502715098,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,1,5,36,1-5-36,,,,,,Round 1: 0.049747379305625553,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,1,5,37,1-5-37,,,,,,Round 1: 0.006817526237380279,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,1,5,48,1-5-48,,,,,,"Round 1: 0.040707673549818797, 0.057576845684590313",,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,1,5,54,1-5-54,,,,,,Round 1: 0.080765074024803578,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,1,5,84,1-5-84,,,,,,Round 1: 0.012263649204063634,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,22,8,2-22-2008,,,,,,Round 1: 0.086083568958509824,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,22,10,2-22-10,,,,,,Round 1: 0.022752565551541564,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,22,45,2-22-45,,,,,,Round 1: 0.047756095949718647,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,22,50,2-22-50,,,,,,Round 1: 0.035372591839059254,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,22,62,2-22-62,,,,,,Round 1: 0.075388870523037758,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,22,65,2-22-65,,,,,,Round 1: 0.082412991851960843,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,22,71,2-22-71,,,,,,Round 1: 0.074831931747865469,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,22,81,2-22-81,,,,,,Round 1: 0.063113182926941226,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,22,91,2-22-91,,,,,,"Round 1: 0.070851258580845361, 0.076198363043526575",,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,22,111,2-22-0111,,,,,,Round 1: 0.038121030240137863,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,22,120,2-22-0120,,,,,,Round 1: 0.037967714224063744,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,23,18,2-23-18,,,,,,Round 1: 0.079195638675689782,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,23,21,2-23-21,,,,,,Round 1: 0.053727253943718291,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,23,25,2-23-25,,,,,,Round 1: 0.026858731995237568,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,23,31,2-23-31,,,,,,Round 1: 0.034162148497446392,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,23,34,2-23-34,,,,,,Round 1: 0.025819187958398747,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,23,42,2-23-42,,,,,,Round 1: 0.052820948756904718,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,23,46,2-23-46,,,,,,Round 1: 0.096409222795222897,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,23,57,2-23-57,,,,,,Round 1: 0.099327717829084228,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,23,58,2-23-58,,,,,,"Round 1: 0.026073826288788994, 0.051537305582118547",,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,23,64,2-23-64,,,,,,Round 1: 0.015772489553611167,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,23,81,2-23-81,,,,,,Round 1: 0.003374176559857129,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,23,82,2-23-82,,,,,,Round 1: 0.039032879606513524,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,23,91,2-23-91,,,,,,Round 1: 0.017989506857198169,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,23,102,2-23-0102,,,,,,Round 1: 0.025654480183624396,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,23,111,2-23-0111,,,,,,Round 1: 0.088973704019069595,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,23,113,2-23-0113,,,,,,Round 1: 0.097395315867872198,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,23,116,2-23-0116,,,,,,Round 1: 0.057914073920512698,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,24,8,2-24-2008,,,,,,Round 1: 0.001527518901002119,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,24,21,2-24-21,,,,,,"Round 1: 0.087433238107696050, 0.097481933784336414",,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,24,27,2-24-27,,,,,,Round 1: 0.056926642887300884,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,108,2,24,59,2-24-59,,,,,,Round 1: 0.008038706941672509,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
